type,slug,title,url,path,country,tags,description
article,alpacas-day,A Day Among Alpacas and More,https://mmashaaa.github.io/website_2/articles/alpacas-day.html,articles/alpacas-day.html,Argentina,Slow Down in Nature; Animals & Wildlife,"An unhurried farm afternoon spent among alpacas, far from any checklist of famous sights."
article,amphawa-fireflies,Trees That Glow Without Fairy Lights,https://mmashaaa.github.io/website_2/articles/amphawa-fireflies.html,articles/amphawa-fireflies.html,Thailand,Witness a Rare Event; Slow Down in Nature,Thousands of fireflies flashing in unison turn a mangrove canal into something otherworldly after dark.
article,carlos-keen,A Weekend Without Screens: Why You Should Visit Carlos Keen,https://mmashaaa.github.io/website_2/articles/carlos-keen.html,articles/carlos-keen.html,Argentina,Slow Down in Nature; Like a Local,A one-street village built around a single long lunch table and absolutely nothing else to do.
article,chet-sao-noi,While Tourists Walk Past,https://mmashaaa.github.io/website_2/articles/chet-sao-noi.html,articles/chet-sao-noi.html,Thailand,Slow Down in Nature; One-Night Escape; Like a Local,"Seven limestone cascades built for wading and lingering, not for a five-minute photo stop."
article,day-with-gauchos,Spend a Day with Real Gauchos,https://mmashaaa.github.io/website_2/articles/day-with-gauchos.html,articles/day-with-gauchos.html,Argentina,Local Traditions & Craftsmanship; Food Worth the Trip,"Asado over open coals, horsemanship demonstrations and an afternoon inside a working estancia."
article,deliblato-sands,The Blooming Sands,https://mmashaaa.github.io/website_2/articles/deliblato-sands.html,articles/deliblato-sands.html,Serbia,Witness a Rare Event; Escape the Crowds,"For a few weeks each spring, Europe's largest sand landscape turns into a flowering steppe."
article,djerdap-road,Serbia’s Most Beautiful Road?,https://mmashaaa.github.io/website_2/articles/djerdap-road.html,articles/djerdap-road.html,Serbia,Slow Down in Nature; Extend Your Weekend; One-Night Escape,"A hundred kilometres between Golubac and Kladovo, measured in fortresses and river bends rather than minutes."
article,drvengrad,The Place Where Cinema Never Ended,https://mmashaaa.github.io/website_2/articles/drvengrad.html,articles/drvengrad.html,Serbia,Cultural Experience; Slow Down in Nature; One-Night Escape,A wooden village built for a film that never stopped being lived in.
article,four-eras-danube,"One Weekend, Four Eras",https://mmashaaa.github.io/website_2/articles/four-eras-danube.html,articles/four-eras-danube.html,Serbia,Slow Down in Nature; Extend Your Weekend; One-Night Escape,"A medieval fortress, an 8,000-year-old settlement and a spectacular gorge, all bound together by one river."
article,fruska-gora-butterflies,Summer of Butterflies,https://mmashaaa.github.io/website_2/articles/fruska-gora-butterflies.html,articles/fruska-gora-butterflies.html,Serbia,Slow Down in Nature; See Wildlife,Sunlit meadows and forest edges make this national park an unlikely butterfly hotspot.
article,hin-dat-hot-spring,Between Hot Water and a Cold River,https://mmashaaa.github.io/website_2/articles/hin-dat-hot-spring.html,articles/hin-dat-hot-spring.html,Thailand,Extend Your Weekend; One-Night Escape; Like a Local; Recharge,"A natural hot spring a few steps from a cold jungle river — hot and cold, side by side."
article,ibar-gorge-lilacs,The Valley That Was Planted for One Woman,https://mmashaaa.github.io/website_2/articles/ibar-gorge-lilacs.html,articles/ibar-gorge-lilacs.html,Serbia,Witness a Rare Event; Slow Down in Nature,"A medieval king's legend, a gorge full of wild lilacs, and a fortress watching from above."
article,kaeng-krachan,The Forest You Can Never See All at Once,https://mmashaaa.github.io/website_2/articles/kaeng-krachan.html,articles/kaeng-krachan.html,Thailand,Slow Down in Nature; Extend Your Weekend; Change the Weather,"Thailand's largest national park, where days of exploring still leave most of the forest unseen."
article,khao-chamao,Beyond the Next Cascade,https://mmashaaa.github.io/website_2/articles/khao-chamao.html,articles/khao-chamao.html,Thailand,Slow Down in Nature; Extend Your Weekend; One-Night Escape,A gentle swimming spot at the bottom slowly turns into a serious forest hike higher up.
article,khao-chong-lom,The Place Where Nature Feels Bigger Than You,https://mmashaaa.github.io/website_2/articles/khao-chong-lom.html,articles/khao-chong-lom.html,Thailand,Slow Down in Nature; Extend Your Weekend; One-Night Escape; Recharge,"A hiking trail that only exists for part of the year, submerged by a reservoir the rest of the time."
article,khao-yai-after-dark,When the Tourists Leave: Khao Yai After Dark,https://mmashaaa.github.io/website_2/articles/khao-yai-after-dark.html,articles/khao-yai-after-dark.html,Thailand,Animals & Wildlife; One-Night Escape,"Once the day-trippers drive back to Bangkok, the forest quietly becomes itself again."
article,khao-yai-elephants,Can You See Wild Elephants Just Three Hours from Bangkok?,https://mmashaaa.github.io/website_2/articles/khao-yai-elephants.html,articles/khao-yai-elephants.html,Thailand,Slow Down in Nature; Animals & Wildlife; Change the Weather,One of Southeast Asia's few remaining places where wild elephants still cross the road at dusk.
article,khao-yai-weekend,Cool Weekends Just Three Hours from Bangkok: Waterfalls and Mountain Forests of Khao Yai,https://mmashaaa.github.io/website_2/articles/khao-yai-weekend.html,articles/khao-yai-weekend.html,Thailand,Slow Down in Nature; One-Night Escape,"Waterfalls, mountain forest and cool air, all within a three-hour drive of the capital."
article,la-serenisima-factory,How to Visit the La Serenísima Factory,https://mmashaaa.github.io/website_2/articles/la-serenisima-factory.html,articles/la-serenisima-factory.html,Argentina,Cultural Experience,From the milking parlour to the supermarket shelf — a look inside Argentina's biggest dairy.
article,nakhon-nayok-nothing,The Art of Doing Nothing,https://mmashaaa.github.io/website_2/articles/nakhon-nayok-nothing.html,articles/nakhon-nayok-nothing.html,Thailand,Slow Down in Nature; Extend Your Weekend; One-Night Escape; Like a Local; Recharge,A weekend built entirely around having nowhere in particular to be.
article,nakhon-nayok-vs-sai-yok,Which Waterfall Is Right for You?,https://mmashaaa.github.io/website_2/articles/nakhon-nayok-vs-sai-yok.html,articles/nakhon-nayok-vs-sai-yok.html,Thailand,Slow Down in Nature; One-Night Escape; Like a Local,"Two of Thailand's best weekend waterfalls compared — one for relaxing, one for exploring."
article,novi-sad-food,The Flavours of Novi Sad: A City Told Through Its Food,https://mmashaaa.github.io/website_2/articles/novi-sad-food.html,articles/novi-sad-food.html,Serbia,Food Worth the Trip,"Fish stew, ražnjići and market stalls — a city best understood one dish at a time."
article,novi-sad-simple,The City That Seems Surprisingly Simple at First,https://mmashaaa.github.io/website_2/articles/novi-sad-simple.html,articles/novi-sad-simple.html,Serbia,Cultural Experience; Slow Down in Nature; One-Night Escape,"A historic centre that never competes for your attention, and rewards you precisely because of that."
article,penguins-shore,The Penguins’ Shore,https://mmashaaa.github.io/website_2/articles/penguins-shore.html,articles/penguins-shore.html,Argentina,Witness a Rare Event; Slow Down in Nature; See Wildlife,"On this stretch of Patagonian coast, the penguins decide who has right of way."
article,petrovaradin-tunnels,There Is Another City Beneath Novi Sad,https://mmashaaa.github.io/website_2/articles/petrovaradin-tunnels.html,articles/petrovaradin-tunnels.html,Serbia,Cultural Experience; Unusual Experiences,Sixteen kilometres of underground military galleries hide beneath one of Europe's great fortresses.
article,punta-tombo-guide,Punta Tombo: Everything You Need to Know Before You Go,https://mmashaaa.github.io/website_2/articles/punta-tombo-guide.html,articles/punta-tombo-guide.html,Argentina,Witness a Rare Event; Work Remotely; See Wildlife,A practical guide to visiting the largest Magellanic penguin colony in South America.
article,resava-cave,A Journey 80 Million Years Back in Time: Resava Cave,https://mmashaaa.github.io/website_2/articles/resava-cave.html,articles/resava-cave.html,Serbia,Cultural Experience; Slow Down in Nature; One-Night Escape,Forty minutes underground move through tens of millions of years of geological time.
article,sai-yok-waterfall,Sai Yok — Walking Through a Waterfall,https://mmashaaa.github.io/website_2/articles/sai-yok-waterfall.html,articles/sai-yok-waterfall.html,Thailand,Slow Down in Nature; Extend Your Weekend; One-Night Escape,"A limestone cascade you climb through step by step, rather than simply admire from below."
article,san-antonio-de-areco,A Journey into Traditional Argentina: San Antonio de Areco,https://mmashaaa.github.io/website_2/articles/san-antonio-de-areco.html,articles/san-antonio-de-areco.html,Argentina,Active Adventures; One-Night Escape; Like a Local,"Silverwork, an old pulpería and a gaucho museum make this the most complete gateway to criollo Argentina."
article,srinakarin-floating-villa,A Weekend That Doesn’t Need a Shore,https://mmashaaa.github.io/website_2/articles/srinakarin-floating-villa.html,articles/srinakarin-floating-villa.html,Thailand,Extend Your Weekend; One-Night Escape; Recharge,"A wooden villa floating in the middle of a reservoir, reachable only by raft."
